Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
AP;015089;Cornegliano Laudense;098021;
AP;015090;Corno Giovine;098022;
AP;015091;Cornovecchio;098023;
AP;015094;Corte Palasio;098024;
AP;015095;Crespiatica;098025;
AP;015102;Fombio;098026;
AP;015104;Galgagnano;098027;
AP;015109;Graffignana;098028;
AP;015111;Guardamiglio;098029;
AP;015124;Livraga;098030;
AP;015126;Lodi;098031;
AP;015127;Lodi Vecchio;098032;
AP;015128;Maccastorna;098033;
AP;015132;Mairago;098034;
AP;015133;Maleo;098035;
AP;015135;Marudo;098036;
AP;015137;Massalengo;098037;
AP;015141;Meleti;098038;
AP;015143;Merlino;098039;
AP;015148;Montanaso Lombardo;098040;
AP;015153;Mulazzano;098041;
AP;015160;Orio Litta;098042;
AP;015162;Ospedaletto Lodigiano;098043;
AP;015163;Ossago Lodigiano;098044;
AP;015174;Pieve Fissiraga;098045;
AP;015190;Salerano sul Lambro;098046;
AP;015193;San Fiorano;098047;
AP;015196;San Martino in Strada;098048;
AP;015197;San Rocco al Porto;098049;
AP;015198;Sant'Angelo Lodigiano;098050;
AP;015199;Santo Stefano Lodigiano;098051;
AP;015203;Secugnago;098052;
AP;015207;Senna Lodigiana;098053;
AP;015214;Somaglia;098054;
AP;015215;Sordio;098055;
AP;015218;Terranova dei Passerini;098057;
AP;015225;Turano Lodigiano;098058;
AP;015228;Valera Fratta;098059;
AP;015238;Villanova del Sillaro;098060;
AP;015240;Tavazzano con Villavesco;098056;
AP;015245;Zelo Buon Persico;098061;
AP;016045;Calolziocorte;097013;
AP;016054;Carenno;097014;
AP;016095;Erve;097034;
AP;016138;Monte Marenzo;097052;
AP;016215;Torre de' Busi;097080;
AP;016231;Vercurago;097086;
AQ;035006;Brescello;035029;Poviglio
CE ;035006;Brescello;035029;Poviglio
AQ;035029;Poviglio;035006;Brescello
CE ;035029;Poviglio;035006;Brescello
AP;040002;Bellaria-Igea Marina;099001;
AP;040006;Cattolica;099002;
AP;040010;Coriano;099003;
AP;040017;Gemmano;099004;
AP;040021;Misano Adriatico;099005;
AP;040023;Mondaino;099006;
AP;040024;Monte Colombo;099007;
AP;040025;Montefiore Conca;099008;
AP;040026;Montegridolfo;099009;
AP;040027;Montescudo;099010;
AP;040029;Morciano di Romagna;099011;
AP;040030;Poggio Berni;099012;
AP;040034;Riccione;099013;
AP;040035;Rimini;099014;
AP;040038;Saludecio;099015;
AP;040039;San Clemente;099016;
AP;040040;San Giovanni in Marignano;099017;
AP;040042;Santarcangelo di Romagna;099018;
AP;040048;Torriana;099019;
AP;040051;Verucchio;099020;
AP;048007;Cantagallo;100001;
AP;048009;Carmignano;100002;
AP;048029;Montemurlo;100003;
AP;048034;Prato;100005;
AP;048047;Vaiano;100006;
AP;048048;Vernio;100007;
AP;048051;Poggio a Caiano;100004;
CE ;058091;Roma;058120;Fiumicino
AQ;058120;Fiumicino;058091;Roma
CS;058120;Fiumicino;058091;Roma
CD;062074;Telese;062074;Telese Terme
AP;079001;Acquaro;102001;
AP;079006;Arena;102002;
AP;079010;Belvedere di Spinello;101001;
AP;079013;Briatico;102003;
AP;079014;Brognaturo;102004;
AP;079015;Caccuri;101002;
AP;079016;Capistrano;102005;
AP;079019;Carfizzi;101003;
AP;079021;Casabona;101004;
AP;079022;Castelsilano;101005;
AP;079026;Cerenzia;101006;
AP;079028;Cessaniti;102006;
AP;079031;Cirò;101007;
AP;079032;Cirò Marina;101008;
AP;079035;Cotronei;101009;
AP;079037;Crotone;101010;
AP;079038;Crucoli;101011;
AP;079040;Cutro;101012;
AP;079041;Dasà;102007;
AP;079044;Dinami;102008;
AP;079045;Drapia;102009;
AP;079046;Fabrizia;102010;
AP;079049;Filadelfia;102011;
AP;079050;Filandari;102012;
AP;079051;Filogaso;102013;
AP;079053;Francavilla Angitola;102014;
AP;079054;Francica;102015;
AP;079057;Gerocarne;102016;
AP;079062;Ionadi;102017;
AP;079064;Isola di Capo Rizzuto;101013;
AP;079066;Joppolo;102018;
AP;079067;Limbadi;102019;
AP;079070;Maierato;102020;
AP;079075;Melissa;101014;
AP;079076;Mesoraca;101015;
AP;079078;Mileto;102021;
AP;079079;Mongiana;102022;
AP;079082;Monterosso Calabro;102023;
AP;079084;Nardodipace;102024;
AP;079086;Nicotera;102025;
AP;079090;Pallagorio;101016;
AP;079091;Parghelia;102026;
AP;079093;Petilia Policastro;101017;
AP;079097;Pizzo;102027;
AP;079098;Pizzoni;102028;
AP;079100;Polia;102029;
AP;079101;Ricadi;102030;
AP;079102;Roccabernarda;101018;
AP;079103;Rocca di Neto;101019;
AP;079104;Rombiolo;102031;
AP;079106;San Calogero;102032;
AP;079107;San Costantino Calabro;102033;
AP;079109;San Gregorio d'Ippona;102034;
AP;079111;San Mauro Marchesato;101020;
AP;079112;San Nicola da Crissa;102035;
AP;079113;San Nicola dell'Alto;101021;
AP;079119;Santa Severina;101022;
AP;079121;Sant'Onofrio;102036;
AP;079124;Savelli;101023;
AP;079125;Scandale;101024;
AP;079128;Serra San Bruno;102037;
AP;079132;Simbario;102038;
AP;079135;Sorianello;102039;
AP;079136;Soriano Calabro;102040;
AP;079140;Spadola;102041;
AP;079141;Spilinga;102042;
AP;079144;Stefanaconi;102043;
AP;079145;Strongoli;101025;
AP;079149;Tropea;102044;
AP;079150;Umbriatico;101026;
AP;079152;Vallelonga;102045;
AP;079153;Vazzano;102046;
AP;079154;Verzino;101027;
AP;079155;Vibo Valentia;102047;
AP;079156;Zaccanopoli;102048;
AP;079158;Zambrone;102049;
AP;079159;Zungri;102050;
CE;059004;Castelforte;059026;Santi Cosma e Damiano
AQ;059026;Santi Cosma e Damiano;059004;Castelforte
AQ;021035;Gargazzone;021066;Postal
CE ;021066;Postal;021035;Gargazzone
CD;022091;Garniga;022091;Garniga Terme
AQ;028011;Battaglia Terme;028061;Pernumia
CE ;028061;Pernumia;028011;Battaglia Terme
CE ;058057;Marino;058121;Boville
AQ;058121;Boville;058057;Marino
CS;058121;Boville;058057;Marino
CE ;073027;Taranto;073029;Statte
AQ;073029;Statte;073027;Taranto
CS;073029;Statte;073027;Taranto
AQ;071030;Margherita di Savoia;072007;Barletta
CE;072007;Barletta;071057;Trinitapoli
CE;071057;Trinitapoli;072007;Barletta
AQ;072007;Barletta;071030;Margherita di Savoia
AQ;005035;Cerreto d'Asti;005086;Piovà Massaia
CE ;005086;Piovà Massaia;005035;Cerreto d'Asti
AQ;006037;Casal Cermelli;006047;Castellazzo Bormida
CE ;006047;Castellazzo Bormida;006037;Casal Cermelli
ES;029016;Contarina;029052;Porto Viro
ES;029020;Donada;029052;Porto Viro
CS;029052;Porto Viro;029016;Contarina
AQ;029052;Porto Viro;029020;Donada
CS;029052;Porto Viro;029020;Donada
AQ;029052;Porto Viro;029016;Contarina
CD;005001;Agliano;005001;Agliano Terme
CE ;015015;Basiglio;015115;Lacchiarella
AQ;015015;Basiglio;015115;Lacchiarella
CE ;015115;Lacchiarella;015015;Basiglio
AQ;015115;Lacchiarella;015015;Basiglio
AQ;015139;Mediglia;015171;Peschiera Borromeo
CE ;015139;Mediglia;015171;Peschiera Borromeo
CE ;015171;Peschiera Borromeo;015139;Mediglia
AQ;015171;Peschiera Borromeo;015139;Mediglia
AQ;017127;Ospitaletto;017136;Passirano
CE ;017136;Passirano;017127;Ospitaletto
CE ;021056;Naturno;021064;Plaus
AQ;021064;Plaus;021056;Naturno
ES;028024;Carrara San Giorgio;028106;Due Carrare
ES;028025;Carrara Santo Stefano;028106;Due Carrare
AQ;028106;Due Carrare;028025;Carrara Santo Stefano
CS;028106;Due Carrare;028024;Carrara San Giorgio
CS;028106;Due Carrare;028025;Carrara Santo Stefano
AQ;028106;Due Carrare;028024;Carrara San Giorgio
AQ;058057;Marino;058121;Boville
ES;058121;Boville;058057;Marino
AQ;001206;Prascorsano;001287;Valperga
CE ;001287;Valperga;001206;Prascorsano
CE ;022153;Riva del Garda;022191;Tenno
AQ;022191;Tenno;022153;Riva del Garda
AQ;023012;Bovolone;023040;Isola della Scala
AQ;023012;Bovolone;023055;Oppeano
CE ;023040;Isola della Scala;023012;Bovolone
CE ;023055;Oppeano;023012;Bovolone
CE ;028014;Bovolenta;028068;Pontelongo
AQ;028068;Pontelongo;028014;Bovolenta
CE ;090017;Buddusò;090090;Padru
CS;090090;Padru;090017;Buddusò
AQ;090090;Padru;090017;Buddusò
CD;090044;Nughedu di San Nicolò;090044;Nughedu San Nicolò
AQ;012069;Ferrera di Varese;012100;Masciago Primo
CE ;012100;Masciago Primo;012069;Ferrera di Varese
CE ;015007;Arconate;015041;Busto Garolfo
AQ;015007;Arconate;015041;Busto Garolfo
AQ;015041;Busto Garolfo;015007;Arconate
CE ;015041;Busto Garolfo;015007;Arconate
CE ;015010;Arluno;015200;Santo Stefano Ticino
AQ;015200;Santo Stefano Ticino;015010;Arluno
AQ;015146;Milano;015209;Sesto San Giovanni
CE ;015209;Sesto San Giovanni;015146;Milano
CE ;091013;Bosa;091049;Montresta
AQ;091049;Montresta;091013;Bosa
AQ;098029;Guardamiglio;098054;Somaglia
CE ;098029;Guardamiglio;098054;Somaglia
AQ;098054;Somaglia;098029;Guardamiglio
CE ;098054;Somaglia;098029;Guardamiglio
ES;005043;Colcavagno;005121;Montiglio Monferrato
ES;005078;Montiglio;005121;Montiglio Monferrato
ES;005102;Scandeluzza;005121;Montiglio Monferrato
CS;005121;Montiglio Monferrato;005078;Montiglio
AQ;005121;Montiglio Monferrato;005043;Colcavagno
CS;005121;Montiglio Monferrato;005102;Scandeluzza
AQ;005121;Montiglio Monferrato;005078;Montiglio
AQ;005121;Montiglio Monferrato;005102;Scandeluzza
CS;005121;Montiglio Monferrato;005043;Colcavagno
AQ;015115;Lacchiarella;018150;Siziano
CE ;015115;Lacchiarella;018150;Siziano
CE ;018150;Siziano;015115;Lacchiarella
AQ;018150;Siziano;015115;Lacchiarella
AQ;040007;Cesena;040015;Gambettola
CE ;040007;Cesena;040015;Gambettola
CE ;040015;Gambettola;040007;Cesena
AQ;040015;Gambettola;040007;Cesena
CE ;066057;Morino;066092;San Vincenzo Valle Roveto
AQ;066092;San Vincenzo Valle Roveto;066057;Morino
